Iter 10, task chunking, loss 3.400405168533325
Iter 12400, task chunking, loss 0.5473662614822388
Iter 12410, task chunking, loss 0.5507605075836182
Iter 12420, task chunking, loss 0.5699982047080994
Iter 12430, task chunking, loss 0.5900281071662903
Iter 12440, task chunking, loss 0.5487565398216248
Iter 12450, task chunking, loss 0.575567364692688
Iter 12460, task chunking, loss 0.559618353843689
Iter 12470, task chunking, loss 0.5663245320320129
Iter 12480, task chunking, loss 0.5796284675598145
Iter 12490, task chunking, loss 0.5786504745483398
Iter 12500, task chunking, loss 0.5732064247131348
Iter 12510, task chunking, loss 0.5427853465080261
Iter 12520, task chunking, loss 0.5307979583740234
Iter 12530, task chunking, loss 0.587769091129303
Iter 12540, task chunking, loss 0.5253491401672363
Iter 12550, task chunking, loss 0.5886419415473938
Iter 12560, task chunking, loss 0.5504060387611389
Iter 12570, task chunking, loss 0.5867275595664978
Iter 12580, task chunking, loss 0.5564812421798706
Iter 12590, task chunking, loss 0.5513278245925903
Iter 12600, task chunking, loss 0.5442945957183838
Iter 12610, task chunking, loss 0.5709675550460815
Iter 12620, task chunking, loss 0.5750473737716675
Iter 12630, task chunking, loss 0.5686337947845459
Iter 12640, task chunking, loss 0.5257500410079956
Iter 12650, task chunking, loss 0.5725329518318176
Iter 12660, task chunking, loss 0.5460500121116638
Iter 12670, task chunking, loss 0.5505661368370056
Iter 12680, task chunking, loss 0.5535164475440979
Iter 12690, task chunking, loss 0.584747314453125
Iter 12700, task chunking, loss 0.5654852986335754
Iter 12710, task chunking, loss 0.5712849497795105
Iter 12720, task chunking, loss 0.5853244662284851
Iter 12730, task chunking, loss 0.5556735396385193
Iter 12740, task chunking, loss 0.5389119982719421
Iter 12750, task chunking, loss 0.5372821092605591
Iter 12760, task chunking, loss 0.5606357455253601
Iter 12770, task chunking, loss 0.5431768894195557
Iter 12780, task chunking, loss 0.5574408769607544
Iter 12790, task chunking, loss 0.5678520202636719
Iter 12800, task chunking, loss 0.5376931428909302
Iter 12810, task chunking, loss 0.5448591709136963
Iter 12820, task chunking, loss 0.5602130889892578
Iter 12830, task chunking, loss 0.5433104634284973
Iter 12840, task chunking, loss 0.5673385262489319
Iter 12850, task chunking, loss 0.5165047645568848
Iter 12860, task chunking, loss 0.5680549144744873
Iter 12870, task chunking, loss 0.5314047932624817
Iter 12880, task chunking, loss 0.5488790273666382
Iter 12890, task chunking, loss 0.5625983476638794
Iter 12900, task chunking, loss 0.5996573567390442
Iter 12910, task chunking, loss 0.5401536226272583
Iter 12920, task chunking, loss 0.5506070852279663
Iter 12930, task chunking, loss 0.5531711578369141
Iter 12940, task chunking, loss 0.5477887392044067
Iter 12950, task chunking, loss 0.5364131927490234
Iter 12960, task chunking, loss 0.5361374020576477
Iter 12970, task chunking, loss 0.5458177328109741
Iter 12980, task chunking, loss 0.574069082736969
Iter 12990, task chunking, loss 0.5339851379394531
Iter 13000, task chunking, loss 0.5499976873397827
Iter 13010, task chunking, loss 0.5431274175643921
Iter 13020, task chunking, loss 0.5575844645500183
Iter 13030, task chunking, loss 0.5588124990463257
Iter 13040, task chunking, loss 0.5544438362121582
Iter 13050, task chunking, loss 0.5380123257637024
Iter 13060, task chunking, loss 0.5535151362419128
Iter 13070, task chunking, loss 0.5069339275360107
Iter 13080, task chunking, loss 0.5361942052841187
Iter 13090, task chunking, loss 0.5405374765396118
Iter 13100, task chunking, loss 0.5659712553024292
Iter 13110, task chunking, loss 0.5364845991134644
Iter 13120, task chunking, loss 0.5396140813827515
Iter 13130, task chunking, loss 0.5470955967903137
Iter 13140, task chunking, loss 0.573805034160614
Iter 13150, task chunking, loss 0.5583612322807312
Iter 13160, task chunking, loss 0.5324946641921997
Iter 13170, task chunking, loss 0.5017838478088379
Iter 13180, task chunking, loss 0.5716023445129395
Iter 13190, task chunking, loss 0.5379493236541748
Iter 13200, task chunking, loss 0.5469248294830322
Iter 13210, task chunking, loss 0.5256802439689636
Iter 13220, task chunking, loss 0.5003635287284851
Iter 13230, task chunking, loss 0.5259057283401489
Iter 13240, task chunking, loss 0.542164146900177
Iter 13250, task chunking, loss 0.5565587878227234
Iter 13260, task chunking, loss 0.5210242867469788
Iter 13270, task chunking, loss 0.519662082195282
Iter 13280, task chunking, loss 0.5636946558952332
Iter 13290, task chunking, loss 0.5737761855125427
Iter 13300, task chunking, loss 0.5270398855209351
Iter 13310, task chunking, loss 0.5444357991218567
Iter 13320, task chunking, loss 0.536953330039978
Iter 13330, task chunking, loss 0.534161388874054
Iter 13340, task chunking, loss 0.5433358550071716
Iter 13350, task chunking, loss 0.5222208499908447
Iter 13360, task chunking, loss 0.5281687378883362
Iter 13370, task chunking, loss 0.539361834526062
Iter 13380, task chunking, loss 0.5162708163261414
Iter 13390, task chunking, loss 0.5262128114700317
Iter 13400, task chunking, loss 0.5216919183731079
Iter 13410, task chunking, loss 0.5338248014450073
Iter 13420, task chunking, loss 0.5274850130081177
Iter 13430, task chunking, loss 0.5289283990859985
Iter 13440, task chunking, loss 0.509848415851593
Iter 13450, task chunking, loss 0.5303016304969788
Iter 13460, task chunking, loss 0.5096627473831177
Iter 13470, task chunking, loss 0.5312793254852295
Iter 13480, task chunking, loss 0.5413850545883179
Iter 13490, task chunking, loss 0.5296311378479004
Iter 13500, task chunking, loss 0.5054757595062256
Iter 13510, task chunking, loss 0.5270365476608276
Iter 13520, task chunking, loss 0.5213621854782104
Iter 13530, task chunking, loss 0.5116316080093384
Iter 13540, task chunking, loss 0.5146874189376831
Iter 13550, task chunking, loss 0.5312737226486206
Iter 13560, task chunking, loss 0.5198134183883667
Iter 13570, task chunking, loss 0.5124145746231079
Iter 13580, task chunking, loss 0.5309920907020569
Iter 13590, task chunking, loss 0.49446263909339905
Iter 13600, task chunking, loss 0.523817777633667
Iter 13610, task chunking, loss 0.5132090449333191
Iter 13620, task chunking, loss 0.5485716462135315
Iter 13630, task chunking, loss 0.48608607053756714
Iter 13640, task chunking, loss 0.5325291752815247
Iter 13650, task chunking, loss 0.5196851491928101
Iter 13660, task chunking, loss 0.5285047292709351
Iter 13670, task chunking, loss 0.496685653924942
Iter 13680, task chunking, loss 0.4956128001213074
Iter 13690, task chunking, loss 0.5096441507339478
Iter 13700, task chunking, loss 0.5257858037948608
Iter 13710, task chunking, loss 0.516392707824707
Iter 13720, task chunking, loss 0.5170941948890686
Iter 13730, task chunking, loss 0.5143165588378906
Iter 13740, task chunking, loss 0.5034510493278503
Iter 13750, task chunking, loss 0.5105387568473816
Iter 13760, task chunking, loss 0.5450599789619446
Iter 13770, task chunking, loss 0.498162180185318
Iter 13780, task chunking, loss 0.4878173768520355
Iter 13790, task chunking, loss 0.49942851066589355
Iter 13800, task chunking, loss 0.525108814239502
Iter 13810, task chunking, loss 0.5117607116699219
Iter 13820, task chunking, loss 0.5180777311325073
Iter 13830, task chunking, loss 0.47576794028282166
Iter 13840, task chunking, loss 0.510441780090332
Iter 13850, task chunking, loss 0.5024333596229553
Iter 13860, task chunking, loss 0.515457272529602
Iter 13870, task chunking, loss 0.5093995332717896
Iter 13880, task chunking, loss 0.49284905195236206
Iter 13890, task chunking, loss 0.5144320130348206
Iter 13900, task chunking, loss 0.5077649354934692
Iter 13910, task chunking, loss 0.5179568529129028
Iter 13920, task chunking, loss 0.4945448935031891
Iter 13930, task chunking, loss 0.5273761749267578
Iter 13940, task chunking, loss 0.5159915685653687
Iter 13950, task chunking, loss 0.4838174879550934
Iter 13960, task chunking, loss 0.505456805229187
Iter 13970, task chunking, loss 0.49225109815597534
Iter 13980, task chunking, loss 0.5051325559616089
Iter 13990, task chunking, loss 0.5112946629524231
Iter 14000, task chunking, loss 0.4944632947444916
Iter 14010, task chunking, loss 0.4627998471260071
Iter 14020, task chunking, loss 0.4507210850715637
Iter 14030, task chunking, loss 0.5088467597961426
Iter 14040, task chunking, loss 0.4923359751701355
Iter 14050, task chunking, loss 0.5431169271469116
Iter 14060, task chunking, loss 0.5060431957244873
Iter 14070, task chunking, loss 0.5167660713195801
Iter 14080, task chunking, loss 0.470081627368927
Iter 14090, task chunking, loss 0.496839702129364
Iter 14100, task chunking, loss 0.4684498906135559
Iter 14110, task chunking, loss 0.5052129626274109
Iter 14120, task chunking, loss 0.49891605973243713
Iter 14130, task chunking, loss 0.5107142329216003
Iter 14140, task chunking, loss 0.49623045325279236
Iter 14150, task chunking, loss 0.5023206472396851
Iter 14160, task chunking, loss 0.5143085718154907
Iter 14170, task chunking, loss 0.5125000476837158
Iter 14180, task chunking, loss 0.4914575517177582
Iter 14190, task chunking, loss 0.5197649598121643
Iter 14200, task chunking, loss 0.473292738199234
Iter 14210, task chunking, loss 0.48440831899642944
Iter 14220, task chunking, loss 0.49536848068237305
Iter 14230, task chunking, loss 0.5096873641014099
Iter 14240, task chunking, loss 0.5072178840637207
Iter 14250, task chunking, loss 0.4861958622932434
Iter 14260, task chunking, loss 0.5142778158187866
Iter 14270, task chunking, loss 0.505332350730896
Iter 14280, task chunking, loss 0.48434463143348694
Iter 14290, task chunking, loss 0.514267086982727
Iter 14300, task chunking, loss 0.49759507179260254
Iter 14310, task chunking, loss 0.5072079300880432
Iter 14320, task chunking, loss 0.4729858338832855
Iter 14330, task chunking, loss 0.4825748801231384
Iter 14340, task chunking, loss 0.4837808609008789
Iter 14350, task chunking, loss 0.5059148073196411
Iter 14360, task chunking, loss 0.4674615263938904
Iter 14370, task chunking, loss 0.5204131007194519
Iter 14380, task chunking, loss 0.5043905973434448
Iter 14390, task chunking, loss 0.475969135761261
Iter 14400, task chunking, loss 0.46101051568984985
Iter 14410, task chunking, loss 0.4693918824195862
Iter 14420, task chunking, loss 0.4959472715854645
Iter 14430, task chunking, loss 0.4815865457057953
Iter 14440, task chunking, loss 0.4725303053855896
Iter 14450, task chunking, loss 0.49312567710876465
Iter 14460, task chunking, loss 0.4730677604675293
Iter 14470, task chunking, loss 0.5003662109375
Iter 14480, task chunking, loss 0.4907599091529846
Iter 14490, task chunking, loss 0.47562089562416077
Iter 14500, task chunking, loss 0.49829035997390747
Iter 14510, task chunking, loss 0.4864012598991394
Iter 14520, task chunking, loss 0.49078479409217834
Iter 14530, task chunking, loss 0.5011998414993286
Iter 14540, task chunking, loss 0.46992725133895874
Iter 14550, task chunking, loss 0.5108115673065186
Iter 14560, task chunking, loss 0.4834727346897125
Iter 14570, task chunking, loss 0.48361629247665405
Iter 14580, task chunking, loss 0.49676308035850525
Iter 14590, task chunking, loss 0.458063542842865
Iter 14600, task chunking, loss 0.48644399642944336
Iter 14610, task chunking, loss 0.5112189650535583
Iter 14620, task chunking, loss 0.47044333815574646
Iter 14630, task chunking, loss 0.5199359059333801
Iter 14640, task chunking, loss 0.47394275665283203
Iter 14650, task chunking, loss 0.4736157953739166
Iter 14660, task chunking, loss 0.4807482659816742
Iter 14670, task chunking, loss 0.4838497042655945
Iter 14680, task chunking, loss 0.4634239077568054
Iter 14690, task chunking, loss 0.5030575394630432
Iter 14700, task chunking, loss 0.4771777093410492
Iter 14710, task chunking, loss 0.48937660455703735
Iter 14720, task chunking, loss 0.4722805917263031
Iter 14730, task chunking, loss 0.46300584077835083
Iter 14740, task chunking, loss 0.49803104996681213
Iter 14750, task chunking, loss 0.48202186822891235
Iter 14760, task chunking, loss 0.47989797592163086
Iter 14770, task chunking, loss 0.476123571395874
Iter 14780, task chunking, loss 0.4854130148887634
Iter 14790, task chunking, loss 0.4920443594455719
Iter 14800, task chunking, loss 0.4811583459377289
Iter 14810, task chunking, loss 0.4864698052406311
Iter 14820, task chunking, loss 0.469747394323349
Iter 14830, task chunking, loss 0.478238970041275
Iter 14840, task chunking, loss 0.46986135840415955
Iter 14850, task chunking, loss 0.4864653944969177
Iter 14860, task chunking, loss 0.4691484868526459
Iter 14870, task chunking, loss 0.5268254280090332
Iter 14880, task chunking, loss 0.4930857717990875
Iter 14890, task chunking, loss 0.4374440312385559
Iter 14900, task chunking, loss 0.45892468094825745
Iter 14910, task chunking, loss 0.4954518675804138
Iter 14920, task chunking, loss 0.45552223920822144
Iter 14930, task chunking, loss 0.47910767793655396
Iter 14940, task chunking, loss 0.47234398126602173
Iter 14950, task chunking, loss 0.4895617365837097
Iter 14960, task chunking, loss 0.47203874588012695
Iter 14970, task chunking, loss 0.4586159586906433
Iter 14980, task chunking, loss 0.43392640352249146
Iter 14990, task chunking, loss 0.4709468483924866
Iter 15000, task chunking, loss 0.4701928198337555
Iter 15010, task chunking, loss 0.46666741371154785
Iter 15020, task chunking, loss 0.49890026450157166
Iter 15030, task chunking, loss 0.46490898728370667
Iter 15040, task chunking, loss 0.44866880774497986
Iter 15050, task chunking, loss 0.4517800211906433
Iter 15060, task chunking, loss 0.4293181896209717
Iter 15070, task chunking, loss 0.4552292823791504
Iter 15080, task chunking, loss 0.47039270401000977
Iter 15090, task chunking, loss 0.48954659700393677
Iter 15100, task chunking, loss 0.44990792870521545
Iter 15110, task chunking, loss 0.4679741859436035
Iter 15120, task chunking, loss 0.45456361770629883
Iter 15130, task chunking, loss 0.44268864393234253
Iter 15140, task chunking, loss 0.4875720143318176
Iter 15150, task chunking, loss 0.4651227593421936
Iter 15160, task chunking, loss 0.45551252365112305
Iter 15170, task chunking, loss 0.49112099409103394
Iter 15180, task chunking, loss 0.4884203374385834
Iter 15190, task chunking, loss 0.45752424001693726
Iter 15200, task chunking, loss 0.46001648902893066
Iter 15210, task chunking, loss 0.42894506454467773
Iter 15220, task chunking, loss 0.4520505964756012
Iter 15230, task chunking, loss 0.45505398511886597
Iter 15240, task chunking, loss 0.46185994148254395
Iter 15250, task chunking, loss 0.478830486536026
Iter 15260, task chunking, loss 0.4606013894081116
Iter 15270, task chunking, loss 0.45736274123191833
Iter 15280, task chunking, loss 0.4354439377784729
Iter 15290, task chunking, loss 0.4451169967651367
Iter 15300, task chunking, loss 0.4310176372528076
Iter 15310, task chunking, loss 0.43411391973495483
Iter 15320, task chunking, loss 0.46238264441490173
Iter 15330, task chunking, loss 0.4490780830383301
Iter 15340, task chunking, loss 0.47245144844055176
Iter 15350, task chunking, loss 0.4527644217014313
Iter 15360, task chunking, loss 0.4643683433532715
Iter 15370, task chunking, loss 0.4544680714607239
Iter 15380, task chunking, loss 0.4612407684326172
Iter 15390, task chunking, loss 0.44008955359458923
Iter 15400, task chunking, loss 0.4501435160636902
Iter 15410, task chunking, loss 0.4512631297111511
Iter 15420, task chunking, loss 0.4764789938926697
Iter 15430, task chunking, loss 0.4745100140571594
Iter 15440, task chunking, loss 0.4470301568508148
Iter 15450, task chunking, loss 0.4478994309902191
Iter 15460, task chunking, loss 0.4417271614074707
Iter 15470, task chunking, loss 0.46543532609939575
Iter 15480, task chunking, loss 0.43699225783348083
Iter 15490, task chunking, loss 0.4446151852607727
Iter 15500, task chunking, loss 0.4507785439491272
Iter 15510, task chunking, loss 0.4335870146751404
Iter 15520, task chunking, loss 0.4558596611022949
Iter 15530, task chunking, loss 0.4459008276462555
Iter 15540, task chunking, loss 0.4526492953300476
Iter 15550, task chunking, loss 0.4682716429233551
Iter 15560, task chunking, loss 0.411734402179718
Iter 15570, task chunking, loss 0.4675212800502777
Iter 15580, task chunking, loss 0.4573577046394348
Iter 15590, task chunking, loss 0.45355692505836487
Iter 15600, task chunking, loss 0.4487943649291992
Iter 15610, task chunking, loss 0.4130018651485443
Iter 15620, task chunking, loss 0.45095181465148926
Iter 15630, task chunking, loss 0.4355417788028717
Iter 15640, task chunking, loss 0.43774622678756714
Iter 15650, task chunking, loss 0.4448012411594391
Iter 15660, task chunking, loss 0.4395952820777893
Iter 15670, task chunking, loss 0.41856449842453003
Iter 15680, task chunking, loss 0.4376322627067566
Iter 15690, task chunking, loss 0.4446774423122406
Iter 15700, task chunking, loss 0.44568246603012085
Iter 15710, task chunking, loss 0.43683260679244995
Iter 15720, task chunking, loss 0.44002652168273926
Iter 15730, task chunking, loss 0.41628795862197876
Iter 15740, task chunking, loss 0.45769771933555603
Iter 15750, task chunking, loss 0.4489225447177887
Iter 15760, task chunking, loss 0.42733174562454224
Iter 15770, task chunking, loss 0.4449991285800934
Iter 15780, task chunking, loss 0.4444243013858795
Iter 15790, task chunking, loss 0.4444638192653656
Iter 15800, task chunking, loss 0.45044058561325073
Iter 15810, task chunking, loss 0.44483494758605957
Iter 15820, task chunking, loss 0.45585083961486816
Iter 15830, task chunking, loss 0.4064381718635559
Iter 15840, task chunking, loss 0.4167812764644623
Iter 15850, task chunking, loss 0.4360893666744232
Iter 15860, task chunking, loss 0.43619972467422485
Iter 15870, task chunking, loss 0.4162973463535309
Iter 15880, task chunking, loss 0.4246632158756256
Iter 15890, task chunking, loss 0.4448888897895813
Iter 15900, task chunking, loss 0.4391104280948639
Iter 15910, task chunking, loss 0.43729376792907715
Iter 15920, task chunking, loss 0.4319191575050354
Iter 15930, task chunking, loss 0.43356651067733765
Iter 15940, task chunking, loss 0.42285680770874023
Iter 15950, task chunking, loss 0.4689033031463623
Iter 15960, task chunking, loss 0.43830543756484985
Iter 15970, task chunking, loss 0.41559505462646484
Iter 15980, task chunking, loss 0.4455283582210541
Iter 15990, task chunking, loss 0.44905370473861694
Iter 16000, task chunking, loss 0.4343058168888092
Iter 16010, task chunking, loss 0.41449040174484253
Iter 16020, task chunking, loss 0.4440329670906067
Iter 16030, task chunking, loss 0.4267851710319519
Iter 16040, task chunking, loss 0.4287484586238861
Iter 16050, task chunking, loss 0.4389583170413971
Iter 16060, task chunking, loss 0.42046862840652466
Iter 16070, task chunking, loss 0.4291391968727112
Iter 16080, task chunking, loss 0.4068029522895813
Iter 16090, task chunking, loss 0.4246717095375061
Iter 16100, task chunking, loss 0.46596941351890564
Iter 16110, task chunking, loss 0.40516844391822815
Iter 16120, task chunking, loss 0.4560065269470215
Iter 16130, task chunking, loss 0.42139607667922974
Iter 16140, task chunking, loss 0.4214320778846741
Iter 16150, task chunking, loss 0.4236828684806824
Iter 16160, task chunking, loss 0.41253384947776794
Iter 16170, task chunking, loss 0.43053120374679565
Iter 16180, task chunking, loss 0.44095826148986816
Iter 16190, task chunking, loss 0.4128135144710541
Iter 16200, task chunking, loss 0.42213162779808044
Iter 16210, task chunking, loss 0.4083925187587738
Iter 16220, task chunking, loss 0.4230763018131256
Iter 16230, task chunking, loss 0.4293830990791321
Iter 16240, task chunking, loss 0.41188669204711914
Iter 16250, task chunking, loss 0.42375844717025757
Iter 16260, task chunking, loss 0.4245201051235199
Iter 16270, task chunking, loss 0.40521520376205444
Iter 16280, task chunking, loss 0.44104713201522827
Iter 16290, task chunking, loss 0.4403168261051178
Iter 16300, task chunking, loss 0.41648897528648376
Iter 16310, task chunking, loss 0.39512521028518677
Iter 16320, task chunking, loss 0.43503665924072266
Iter 16330, task chunking, loss 0.4505593776702881
Iter 16340, task chunking, loss 0.418895959854126
Iter 16350, task chunking, loss 0.40709275007247925
Iter 16360, task chunking, loss 0.4074859619140625
Iter 16370, task chunking, loss 0.396301805973053
Iter 16380, task chunking, loss 0.4048536419868469
Iter 16390, task chunking, loss 0.4158669114112854
Iter 16400, task chunking, loss 0.41774535179138184
Iter 16410, task chunking, loss 0.4243481159210205
Iter 16420, task chunking, loss 0.4327967166900635
Iter 16430, task chunking, loss 0.40038394927978516
Iter 16440, task chunking, loss 0.39387980103492737
Iter 16450, task chunking, loss 0.401516854763031
Iter 16460, task chunking, loss 0.41558021306991577
Iter 16470, task chunking, loss 0.41110658645629883
Iter 16480, task chunking, loss 0.40357860922813416
Iter 16490, task chunking, loss 0.4342992901802063
Iter 16500, task chunking, loss 0.4387342035770416
Iter 16510, task chunking, loss 0.418353796005249
Iter 16520, task chunking, loss 0.4188102185726166
Iter 16530, task chunking, loss 0.4041830897331238
Iter 16540, task chunking, loss 0.40907788276672363
Iter 16550, task chunking, loss 0.4052087366580963
Iter 16560, task chunking, loss 0.40765172243118286
Iter 16570, task chunking, loss 0.3991973102092743
Iter 16580, task chunking, loss 0.4206060469150543
Iter 16590, task chunking, loss 0.4182841181755066
Iter 16600, task chunking, loss 0.41458916664123535
Iter 16610, task chunking, loss 0.4031682014465332
Iter 16620, task chunking, loss 0.4213014543056488
Iter 16630, task chunking, loss 0.4003068804740906
Iter 16640, task chunking, loss 0.4301704466342926
Iter 16650, task chunking, loss 0.4361090064048767
Iter 16660, task chunking, loss 0.3900979459285736
Iter 16670, task chunking, loss 0.4212571084499359
Iter 16680, task chunking, loss 0.3934943675994873
Iter 16690, task chunking, loss 0.4009602963924408
Iter 16700, task chunking, loss 0.4080258309841156
Iter 16710, task chunking, loss 0.4080924391746521
Iter 16720, task chunking, loss 0.3911099135875702
Iter 16730, task chunking, loss 0.3948144018650055
Iter 16740, task chunking, loss 0.4038754999637604
Iter 16750, task chunking, loss 0.3891961872577667
Iter 16760, task chunking, loss 0.4134712219238281
Iter 16770, task chunking, loss 0.4417577385902405
Iter 16780, task chunking, loss 0.4070137143135071
Iter 16790, task chunking, loss 0.38821977376937866
Iter 16800, task chunking, loss 0.42551445960998535
Iter 16810, task chunking, loss 0.40990203619003296
Iter 16820, task chunking, loss 0.40594062209129333
Iter 16830, task chunking, loss 0.39729970693588257
Iter 16840, task chunking, loss 0.4014126658439636
Iter 16850, task chunking, loss 0.4134969711303711
Iter 16860, task chunking, loss 0.413480669260025
Iter 16870, task chunking, loss 0.41214218735694885
Iter 16880, task chunking, loss 0.4150964617729187
Iter 16890, task chunking, loss 0.41564494371414185
Iter 16900, task chunking, loss 0.41332149505615234
Iter 16910, task chunking, loss 0.42515188455581665
Iter 16920, task chunking, loss 0.38741010427474976
Iter 16930, task chunking, loss 0.3955847918987274
Iter 16940, task chunking, loss 0.4116176664829254
Iter 16950, task chunking, loss 0.38632553815841675
Iter 16960, task chunking, loss 0.4233437180519104
Iter 16970, task chunking, loss 0.40567249059677124
Iter 16980, task chunking, loss 0.3967612683773041
Iter 16990, task chunking, loss 0.3848299980163574
Iter 17000, task chunking, loss 0.3965834677219391
Iter 17010, task chunking, loss 0.4060695767402649
Iter 17020, task chunking, loss 0.4237236976623535
Iter 17030, task chunking, loss 0.3933086395263672
Iter 17040, task chunking, loss 0.42023223638534546
Iter 17050, task chunking, loss 0.40293532609939575
Iter 17060, task chunking, loss 0.3947547376155853
Iter 17070, task chunking, loss 0.38984882831573486
Iter 17080, task chunking, loss 0.3869745135307312
Iter 17090, task chunking, loss 0.4105861783027649
Iter 17100, task chunking, loss 0.4207993149757385
Iter 17110, task chunking, loss 0.38123732805252075
Iter 17120, task chunking, loss 0.3854007422924042
Iter 17130, task chunking, loss 0.3930887281894684
Iter 17140, task chunking, loss 0.4082372188568115
Iter 17150, task chunking, loss 0.4008479118347168
Iter 17160, task chunking, loss 0.37709683179855347
Iter 17170, task chunking, loss 0.4027574956417084
Iter 17180, task chunking, loss 0.3861246705055237
Iter 17190, task chunking, loss 0.3707621693611145
Iter 17200, task chunking, loss 0.4028599262237549
Iter 17210, task chunking, loss 0.37679362297058105
Iter 17220, task chunking, loss 0.36906713247299194
Iter 17230, task chunking, loss 0.42022380232810974
Iter 17240, task chunking, loss 0.3997901678085327
Iter 17250, task chunking, loss 0.4036247730255127
Iter 17260, task chunking, loss 0.44208306074142456
Iter 17270, task chunking, loss 0.37709522247314453
Iter 17280, task chunking, loss 0.3850061893463135
Iter 17290, task chunking, loss 0.40136799216270447
Iter 17300, task chunking, loss 0.39339420199394226
Iter 17310, task chunking, loss 0.38454049825668335
Iter 17320, task chunking, loss 0.40549689531326294
Iter 17330, task chunking, loss 0.404174268245697
Iter 17340, task chunking, loss 0.37421494722366333
Iter 17350, task chunking, loss 0.38309672474861145
Iter 17360, task chunking, loss 0.3804035484790802
Iter 17370, task chunking, loss 0.37229683995246887
Iter 17380, task chunking, loss 0.4134245812892914
Iter 17390, task chunking, loss 0.3903750777244568
Iter 17400, task chunking, loss 0.3712442219257355
Iter 17410, task chunking, loss 0.3937406539916992
Iter 17420, task chunking, loss 0.3815854787826538
Iter 17430, task chunking, loss 0.37491852045059204
Iter 17440, task chunking, loss 0.34259742498397827
Iter 17450, task chunking, loss 0.3565530478954315
Iter 17460, task chunking, loss 0.38795557618141174
Iter 17470, task chunking, loss 0.3911561071872711
Iter 17480, task chunking, loss 0.40279799699783325
Iter 17490, task chunking, loss 0.3786194622516632
Iter 17500, task chunking, loss 0.3793885111808777
Iter 17510, task chunking, loss 0.3670269846916199
Iter 17520, task chunking, loss 0.3845495879650116
Iter 17530, task chunking, loss 0.39766448736190796
Iter 17540, task chunking, loss 0.3788488507270813
Iter 17550, task chunking, loss 0.40113896131515503
Iter 17560, task chunking, loss 0.3982054591178894
Iter 17570, task chunking, loss 0.3748277723789215
Iter 17580, task chunking, loss 0.3675136864185333
Iter 17590, task chunking, loss 0.36453625559806824
Iter 17600, task chunking, loss 0.38715577125549316
Iter 17610, task chunking, loss 0.37948933243751526
Iter 17620, task chunking, loss 0.3923792243003845
Iter 17630, task chunking, loss 0.3840872645378113
Iter 17640, task chunking, loss 0.39537787437438965
Iter 17650, task chunking, loss 0.3821629285812378
Iter 17660, task chunking, loss 0.3841649293899536
Iter 17670, task chunking, loss 0.3900461792945862
Iter 17680, task chunking, loss 0.35943394899368286
Iter 17690, task chunking, loss 0.37777793407440186
Iter 17700, task chunking, loss 0.375992089509964
Iter 17710, task chunking, loss 0.4160310626029968
Iter 17720, task chunking, loss 0.3725452125072479
Iter 17730, task chunking, loss 0.39026325941085815
Iter 17740, task chunking, loss 0.3633992075920105
Iter 17750, task chunking, loss 0.3772292733192444
Iter 17760, task chunking, loss 0.3804909884929657
Iter 17770, task chunking, loss 0.3790086805820465
Iter 17780, task chunking, loss 0.3750286102294922
Iter 17790, task chunking, loss 0.38309019804000854
Iter 17800, task chunking, loss 0.37303194403648376
Iter 17810, task chunking, loss 0.3736111521720886
Iter 17820, task chunking, loss 0.361487478017807
Iter 17830, task chunking, loss 0.36296021938323975
Iter 17840, task chunking, loss 0.3763074278831482
Iter 17850, task chunking, loss 0.38946324586868286
Iter 17860, task chunking, loss 0.36838865280151367
Iter 17870, task chunking, loss 0.36545005440711975
Iter 17880, task chunking, loss 0.3751046061515808
Iter 17890, task chunking, loss 0.3907456398010254
Iter 17900, task chunking, loss 0.3441632390022278
Iter 17910, task chunking, loss 0.37505361437797546
Iter 17920, task chunking, loss 0.3645394444465637
Iter 17930, task chunking, loss 0.376110702753067
Iter 17940, task chunking, loss 0.38386157155036926
Iter 17950, task chunking, loss 0.36392539739608765
Iter 17960, task chunking, loss 0.3752197325229645
Iter 17970, task chunking, loss 0.3840511441230774
Iter 17980, task chunking, loss 0.37972280383110046
Iter 17990, task chunking, loss 0.3723326325416565
Iter 18000, task chunking, loss 0.3848716914653778
Iter 18010, task chunking, loss 0.3650793433189392
Iter 18020, task chunking, loss 0.3630027770996094
Iter 18030, task chunking, loss 0.36797311902046204
Iter 18040, task chunking, loss 0.3699099123477936
Iter 18050, task chunking, loss 0.38524895906448364
Iter 18060, task chunking, loss 0.3820876479148865
Iter 18070, task chunking, loss 0.36492636799812317
Iter 18080, task chunking, loss 0.3643752932548523
Iter 18090, task chunking, loss 0.3503643274307251
Iter 18100, task chunking, loss 0.35365116596221924
Iter 18110, task chunking, loss 0.36332350969314575
Iter 18120, task chunking, loss 0.37886449694633484
Iter 18130, task chunking, loss 0.375263512134552
Iter 18140, task chunking, loss 0.3747343122959137
Iter 18150, task chunking, loss 0.3329131007194519
Iter 18160, task chunking, loss 0.3560887575149536
Iter 18170, task chunking, loss 0.3649900555610657
Iter 18180, task chunking, loss 0.3612731099128723
Iter 18190, task chunking, loss 0.3647089898586273
Iter 18200, task chunking, loss 0.33858004212379456
Iter 18210, task chunking, loss 0.3788793385028839
Iter 18220, task chunking, loss 0.3634102940559387
Iter 18230, task chunking, loss 0.3579086363315582
